Episode,Metrica 1,Metrica 2,Metrica 3,Metrica 4,Metrica 5,Metrica 6,Metrica 7,Reward
221,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
222,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
223,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
224,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
225,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
226,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
227,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
228,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
229,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
230,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
231,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
232,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
233,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
234,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
235,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
236,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
237,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
238,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
239,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
240,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
241,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
242,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
243,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
244,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
245,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
246,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
247,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
248,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
249,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
250,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
251,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
252,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
253,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
254,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
255,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
256,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
257,0.0,0.0,100.0,2.63,97.37,0.0,0.16,-64
258,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
259,0.0,0.0,100.0,0.0,97.37,0.0,0.13,-64
260,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
261,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
262,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
263,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
264,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
265,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
266,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
267,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
268,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
269,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
270,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
271,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
272,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
273,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
274,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
275,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
276,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
277,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
